sample	group	counts
GSM2420259	Pre	45408607
GSM2420260	On	45610144
GSM2420261	Pre	45891174
GSM2420262	On	45957806
GSM2420263	On	43813731
GSM2420264	Pre	44271393
GSM2420265	Pre	47155552
GSM2420266	On	45333917
GSM2420267	Pre	46495447
GSM2420268	Pre	44392107
GSM2420269	On	45480643
GSM2420270	Pre	47716550
GSM2420271	On	45391428
GSM2420272	Pre	41352032
GSM2420273	Pre	44505064
GSM2420274	On	50291967
GSM2420275	Pre	48211311
GSM2420276	On	43897622
GSM2420277	Pre	55556607
GSM2420278	On	45951375
GSM2420279	On	55746569
GSM2420280	Pre	46202456
GSM2420281	On	53031045
GSM2420282	Pre	46888317
GSM2420283	On	45375313
GSM2420284	On	43524867
GSM2420285	Pre	40805983
GSM2420286	Pre	38103303
GSM2420287	On	45801231
GSM2420288	On	44067585
GSM2420289	Pre	45620927
GSM2420290	On	54905888
GSM2420291	On	46388261
GSM2420292	Pre	43378452
GSM2420293	On	45956945
GSM2420294	On	50322224
GSM2420295	Pre	45600841
GSM2420296	Pre	44552599
GSM2420297	On	47827030
GSM2420298	On	47277596
GSM2420299	Pre	45049285
GSM2420300	On	45414616
GSM2420301	On	44873373
GSM2420302	Pre	50353964
GSM2420303	Pre	53407742
GSM2420304	On	45398685
GSM2420305	On	47404690
GSM2420306	On	47293682
GSM2420307	Pre	43495738
GSM2420308	On	51071010
GSM2420310	Pre	44755125
GSM2420311	On	52741896
GSM2420312	Pre	54982116
GSM2420313	Pre	44300985
GSM2420316	On	44053823
GSM2420317	On	43120499
GSM2420318	Pre	52319471
GSM2420319	On	47119136
GSM2420320	On	44160527
GSM2420323	On	44282768
GSM2420324	Pre	47036069
GSM2420325	On	47715717
GSM2420326	Pre	53845812
GSM2420328	On	44898017
GSM2420329	Pre	48838584
GSM2420331	Pre	42573217
GSM2420332	On	46912865
GSM2420333	Pre	77684930
GSM2420334	On	46439297
GSM2420335	On	49863171
GSM2420336	Pre	49865535
GSM2420337	Pre	46022319
GSM2420338	On	42006368
GSM2420339	On	43250596
GSM2420340	On	62650188
GSM2420341	Pre	51109378
GSM2420342	On	51643601
GSM2420343	Pre	43642860
GSM2420344	Pre	45113038
GSM2420345	On	51405003
GSM2420346	Pre	49849468
GSM2420349	On	46915294
GSM2420350	Pre	51467656
GSM2420351	On	47210183
GSM2420352	Pre	46120509
GSM2420353	On	45980624
GSM2420354	Pre	43465963
GSM2420355	Pre	45541847
GSM2420356	On	45543533
GSM2420357	Pre	42601369
GSM2420358	On	47867121
GSM2420359	Pre	43796762
GSM2420360	Pre	46835026
GSM2420361	On	48638651
GSM2420362	Pre	46672516
GSM2420363	On	44488616
GSM2420364	On	44144659
GSM2420365	On	47601501
GSM2420366	Pre	47187511
GSM2420367	On	46006564
GSM2420368	Pre	43418241
GSM2420369	On	45903800
GSM2420370	Pre	46636432
GSM2420371	On	46111208
GSM2420372	Pre	52933602
GSM2420373	On	43119305
GSM2420374	On	43435170
GSM2420375	Pre	45389014
GSM2420376	On	47657332
