sample	h.001B	h.002B	h.004B	h.006B	h.009B	h.010B	h.015B	h.020B	v.003A	v.006A	v.008A	v.009A	v.010A	v.012B	v.013B	v.014B	v.018B	v.017B	v.012A	v.013A	v.a4_1	v.a5_1	v.a5_12	v.a6_1	v.a6_4	v.a6_6	v.a6_10	v.a7_1	v.a8_3	v.a8_6	v.a13_19	v.a13_22	v.a15_6	v.a17_4	h.b4_1	h.b5_12	h.b6_4	h.b6_10	h.b8_3	h.b8_6	h.b13_19	h.b13_22
V1000001	21	5759	7045	2974	154	10	13	7	9006	29	4647	4495	34	1696	17	2740	418	2462	3576	1725	175	474	293	59	111	595	548	6	5203	2486	298	15	2251	0	836	2749	667	1061	41	11	12760	773
V1000002	6	1122	1230	491	26	0	5	5	881	4	490	430	6	228	2	241	36	177	340	207	20	77	20	3	13	69	46	0	332	245	42	0	211	0	266	456	887	387	48	5	2864	250
V1000003	27	9304	12315	3996	225	21	18	11	12879	56	7108	6334	42	2652	27	3630	684	5078	3751	1632	308	1125	499	37	163	709	756	8	6366	3714	444	31	2643	0	2232	4995	1286	1217	85	14	15000	851
V1000004	81	28077	36042	16051	713	44	71	42	41985	207	24748	22858	158	9740	90	11936	2109	10869	13269	12214	1033	5101	1450	184	421	2584	2609	64	18471	13014	1683	94	10928	0	6907	16592	3391	4864	291	44	50777	2715
V1000005	9	2988	4890	2400	108	6	7	6	4803	25	3198	4004	19	1178	9	1675	241	1232	2606	2145	113	544	106	35	94	409	303	0	2977	2522	405	0	1013	0	415	1784	1235	614	115	14	5969	284
V1000006	5	1249	1890	675	30	4	4	2	1549	19	1651	1802	15	461	7	1056	168	745	1248	692	89	232	93	25	45	144	172	0	1469	857	108	8	744	0	203	926	130	300	4	10	3316	178
V1000007	16	3489	3286	1884	101	10	9	10	4926	39	4182	4548	38	1388	13	2358	311	1547	3096	2362	249	761	256	32	130	415	527	13	2948	2322	273	5	1305	0	687	3508	496	814	37	5	7687	360
V1000008	30	7425	10624	5135	227	17	20	12	11612	52	6548	5637	56	2734	21	2948	589	2662	3505	3923	328	1423	321	28	105	503	619	10	6974	4000	462	33	2350	0	1083	5050	2096	1417	157	10	10960	707
V1000009	16	4398	5499	1844	119	8	11	7	7801	37	2705	3491	31	1171	18	1672	254	2709	1742	1470	206	834	228	22	70	293	402	11	3722	1702	302	11	1293	0	893	2999	542	594	35	7	6830	355
V1000010	4	1262	1662	774	30	3	5	3	2016	9	1348	1238	8	464	4	636	119	550	805	591	56	254	62	11	16	68	167	0	1054	738	114	0	481	0	166	896	446	237	45	0	2088	184
V1000011	35	4526	5412	2598	116	14	31	15	7557	33	4430	4348	34	1525	17	2037	360	2243	2528	1896	236	1131	237	28	107	523	430	11	3506	2736	449	18	1564	0	529	2960	442	748	40	14	8472	348
V1000012	13	3998	3705	2580	80	7	11	7	5144	22	2689	3561	22	1101	11	1165	314	2111	2030	1817	168	876	191	18	47	273	493	5	2785	1617	264	16	1074	0	672	1938	906	762	90	0	5394	330
V1000013	15	4679	7197	2320	112	10	17	9	9006	39	5312	4720	34	1663	13	2492	346	1890	2561	2265	382	960	241	28	114	346	592	20	5620	2226	374	28	1674	0	599	2660	468	827	72	0	7860	549
V1000014	10	3291	2707	2150	54	3	9	3	3645	15	2318	3352	14	868	8	884	291	992	1256	1399	147	521	123	37	85	199	327	7	1848	1611	206	0	1012	0	357	1588	864	477	54	0	3775	172
V1000015	3	1306	1701	717	41	3	4	3	2139	11	1306	1383	12	446	4	653	109	642	944	656	77	384	39	15	44	164	184	0	1186	932	73	7	460	0	182	717	180	311	11	0	1832	131
V1000016	2	803	1130	521	19	2	2	1	1345	6	882	875	4	256	3	482	68	480	650	487	86	207	57	0	45	40	117	0	1007	523	82	0	291	0	106	533	218	146	28	0	811	64
V1000017	37	9617	13002	5867	300	16	33	20	18204	70	9210	9325	66	3683	26	3950	806	6151	5075	3986	395	2399	404	71	177	942	1052	37	9503	5235	633	22	3134	0	1956	5706	1353	1943	121	17	13921	962
V1000018	51	13382	15971	7546	368	30	38	28	23986	74	11205	10809	89	4701	37	4571	1013	6286	5985	5689	558	2812	499	81	191	1270	1278	29	11697	5970	931	46	4101	0	1966	7166	2187	2061	200	21	22263	1007
V1000019	16	1689	2182	922	28	6	20	8	2970	14	1611	1562	13	552	7	672	129	710	961	893	136	317	89	25	52	150	208	0	1554	708	133	0	595	0	221	727	411	273	86	8	2675	196
V1000020	11	2666	3384	1517	84	5	11	5	4946	18	2236	2132	25	782	10	1025	230	1726	1221	750	141	482	97	24	51	248	271	9	2528	1358	242	5	901	0	399	1286	226	335	20	6	4425	242
V1000021	33	8760	11834	5380	271	19	23	16	14345	69	8384	9223	78	3242	30	4059	690	5276	5528	4975	296	1830	440	82	193	1568	898	20	8449	4711	745	17	2982	0	1638	5044	967	1743	102	17	16099	733
V1000022	4	2310	2400	1415	48	2	5	2	4027	10	1699	1829	12	678	4	783	142	651	1071	1415	45	250	87	23	48	330	270	6	1605	1483	161	0	1000	0	224	1000	151	475	8	0	5519	176
V1000023	21	5031	5323	2120	124	10	9	7	4398	18	2779	2645	24	1294	19	2638	207	1232	2049	1546	102	397	238	39	53	278	307	10	3717	1358	169	11	909	0	976	2593	864	1498	56	5	9320	694
V1000024	5	1101	1215	612	25	0	4	2	1423	3	741	959	9	290	6	574	66	297	502	429	17	123	67	10	21	106	66	0	824	124	46	5	288	0	93	1235	1430	409	91	0	1502	202
V1000025	0	1572	1400	1082	27	0	0	0	1134	5	437	251	10	360	0	260	65	392	424	246	37	18	86	17	11	56	18	0	1159	316	46	1	167	0	111	193	112	172	9	0	3928	36
V1000026	3	841	876	404	16	0	2	0	1068	8	481	316	3	180	4	337	25	232	296	247	8	31	21	7	7	68	34	0	513	314	32	3	230	0	145	257	370	157	15	0	2213	119
V1000027	12	1391	1209	435	35	6	7	0	1246	9	815	657	4	318	3	608	41	286	564	372	23	76	48	8	19	96	75	0	803	366	36	2	419	0	196	470	434	110	35	6	2169	114
V1000028	17	1882	2691	857	61	0	8	0	1348	11	993	696	14	392	0	1272	103	651	924	591	13	131	74	16	10	177	100	0	982	358	85	1	474	0	305	817	1664	519	126	2	2421	221
V1000029	0	461	450	255	3	5	4	0	370	3	147	214	7	56	2	279	27	108	276	176	6	18	16	5	4	36	19	0	223	157	17	0	158	0	115	268	97	156	25	0	1080	99
V1000030	0	312	452	162	8	0	0	0	248	0	216	99	5	71	0	192	19	85	193	150	2	7	21	2	1	44	19	0	231	67	16	2	108	0	60	260	186	98	12	0	1052	46
V1000031	0	65	0	0	0	0	0	0	0	4	999	9	0	292	0	0	0	163	6	0	5	0	0	0	3	0	34	0	136	194	17	0	0	0	39	0	110	0	0	0	862	0
V1000032	0	55	0	0	0	0	0	0	0	0	1304	14	4	316	0	4	2	81	9	0	5	0	0	0	3	0	39	0	152	233	20	0	0	0	57	0	164	0	0	0	1266	0
V1000033	0	74	3	0	0	0	0	0	0	0	604	6	0	185	2	0	0	81	4	0	6	0	0	0	0	0	8	0	80	127	8	0	0	0	55	0	125	0	0	0	625	0
V1000034	0	230	150	197	10	0	0	0	219	0	111	79	5	27	0	85	9	45	98	69	2	1	13	1	2	18	15	0	92	35	9	0	67	0	39	190	379	98	28	1	603	56
V1000035	0	168	131	123	7	0	0	0	119	0	184	75	5	52	0	159	16	61	70	111	3	2	3	2	5	4	12	0	144	25	7	2	78	0	61	134	287	55	16	0	311	27
V1000037	18	2466	2300	1061	57	10	22	10	3780	22	3081	2201	24	772	7	2972	179	1161	1985	1749	96	240	144	33	76	324	259	0	1341	828	162	28	1737	0	519	1112	938	481	125	16	3536	289
V1000038	0	306	301	239	24	0	4	4	256	3	391	146	0	153	0	290	19	100	188	482	6	10	20	3	6	49	49	0	317	122	19	0	102	0	67	433	1089	349	118	0	645	131
V1000039	12	1887	1660	1297	33	5	9	7	2725	7	803	811	16	570	14	585	70	566	733	1025	32	48	96	25	42	159	114	5	1312	551	91	0	767	0	520	394	470	479	92	11	4300	407
V1000040	32	9097	9825	4633	178	19	12	15	10108	39	3892	5191	61	2367	19	3355	566	1415	4842	6207	197	194	450	87	176	797	606	4	7035	2916	363	10	3587	0	2216	5035	2470	2353	341	18	16209	2100
V1000041	0	0	92	76	6	1	1	0	0	1	333	1	0	7	0	34	1	506	1	62	0	14	28	0	12	0	0	0	138	91	0	0	0	0	0	0	674	0	98	0	0	138
V1000042	0	0	623	225	3	0	0	0	0	2	229	0	1	79	2	81	0	25	0	84	0	13	22	0	6	10	0	0	111	70	0	0	0	0	0	0	608	0	82	0	0	209
V1000043	2	0	602	331	9	0	0	0	0	0	214	0	0	75	0	92	0	39	0	93	0	32	17	0	13	8	0	0	95	68	0	0	0	0	0	0	1282	0	124	0	0	284
V1000044	25	6319	5950	3141	187	9	18	6	3857	22	2391	1769	21	1120	20	1190	185	708	1323	1399	88	413	154	39	70	330	226	3	1922	1288	153	5	1287	0	1129	2096	1408	1064	91	6	14190	915
V1000045	12	2874	2645	1126	86	5	10	10	1863	14	1418	1157	6	553	9	1112	89	356	1208	912	88	105	116	25	78	121	127	3	1626	848	85	4	338	0	828	1810	682	536	57	4	4673	360
