cell	group	reads
R2	Cytotoxic	1619
R5	Cytotoxic	1975
R12	Cytotoxic	1900
R15	Cytotoxic	1817
R16	Cytotoxic	2878
R19	Cytotoxic	2355
R30	Cytotoxic	2289
R32	Cytotoxic	1720
R37	Cytotoxic	1818
R39	Cytotoxic	1717
R40	Cytotoxic	1687
R43	Cytotoxic	2058
R48	Cytotoxic	2228
R49	Cytotoxic	1908
R56	Cytotoxic	1868
R60	Cytotoxic	1887
R64	Cytotoxic	1977
R65	Cytotoxic	1688
R67	Cytotoxic	2096
R70	Cytotoxic	1762
R71	Cytotoxic	1802
R84	Cytotoxic	1688
R85	Cytotoxic	1763
R86	Cytotoxic	1777
R87	Cytotoxic	1832
R90	Cytotoxic	1780
R91	Cytotoxic	1740
R99	Cytotoxic	2919
R116	Cytotoxic	1823
R119	Cytotoxic	1838
R122	Cytotoxic	1944
R129	Cytotoxic	1884
R133	Cytotoxic	1943
R136	Cytotoxic	1810
R139	Cytotoxic	2890
R149	Cytotoxic	1836
R152	Cytotoxic	1746
R157	Cytotoxic	1694
R158	Cytotoxic	1850
R165	Cytotoxic	1791
R167	Cytotoxic	1985
R171	Cytotoxic	1777
R174	Cytotoxic	2559
R175	Cytotoxic	3278
R176	Cytotoxic	1861
R177	Cytotoxic	1739
R183	Cytotoxic	2558
R187	Cytotoxic	1811
R188	Cytotoxic	1804
R189	Cytotoxic	1714
R193	Cytotoxic	1959
R194	Cytotoxic	1866
R200	Cytotoxic	1866
R206	Cytotoxic	1803
R211	Cytotoxic	1938
R213	Cytotoxic	1843
R214	Cytotoxic	1858
R220	Cytotoxic	1908
R222	Cytotoxic	1723
R224	Cytotoxic	1793
R226	Cytotoxic	1619
R227	Cytotoxic	1827
R237	Cytotoxic	2483
R238	Cytotoxic	1734
R239	Cytotoxic	1752
R265	Cytotoxic	2718
R267	Cytotoxic	2020
R271	Cytotoxic	1732
R277	Cytotoxic	1684
R278	Cytotoxic	1791
R285	Cytotoxic	1749
R286	Cytotoxic	1773
R289	Cytotoxic	2571
R291	Cytotoxic	2088
R292	Cytotoxic	1861
R297	Cytotoxic	1814
R301	Cytotoxic	2115
R302	Cytotoxic	1706
R305	Cytotoxic	1890
R309	Cytotoxic	1821
R310	Cytotoxic	2462
R316	Cytotoxic	1882
R317	Cytotoxic	1966
R319	Cytotoxic	1834
R320	Cytotoxic	2370
R325	Cytotoxic	1797
R335	Cytotoxic	1877
R340	Cytotoxic	1945
R344	Cytotoxic	1975
R350	Cytotoxic	1994
R354	Cytotoxic	2105
R366	Cytotoxic	1755
R370	Cytotoxic	1833
R372	Cytotoxic	2308
R383	Cytotoxic	1722
R384	Cytotoxic	2409
R385	Cytotoxic	1702
R387	Cytotoxic	1743
R389	Cytotoxic	2058
R400	Cytotoxic	2733
R402	Cytotoxic	1789
R406	Cytotoxic	2095
R407	Cytotoxic	2170
R411	Cytotoxic	1764
R413	Cytotoxic	1831
R414	Cytotoxic	1790
R423	Cytotoxic	1827
R428	Cytotoxic	1909
R433	Cytotoxic	1764
R444	Cytotoxic	2489
R448	Cytotoxic	2674
R452	Cytotoxic	1905
R460	Cytotoxic	1731
R468	Cytotoxic	1832
R473	Cytotoxic	1699
R476	Cytotoxic	1737
R478	Cytotoxic	1711
R479	Cytotoxic	3028
R482	Cytotoxic	2199
R492	Cytotoxic	1907
R496	Cytotoxic	3224
R497	Cytotoxic	1742
R501	Cytotoxic	2499
R502	Cytotoxic	2932
R503	Cytotoxic	1663
R506	Cytotoxic	2015
R515	Cytotoxic	1747
R516	Cytotoxic	2325
R520	Cytotoxic	1931
R538	Cytotoxic	2707
R543	Cytotoxic	2987
R556	Cytotoxic	2144
R559	Cytotoxic	2041
R561	Cytotoxic	2032
R566	Cytotoxic	1771
R571	Cytotoxic	2744
R572	Cytotoxic	1807
R575	Cytotoxic	2143
R580	Cytotoxic	1707
R585	Cytotoxic	1821
R590	Cytotoxic	1747
R592	Cytotoxic	2768
R593	Cytotoxic	1684
R594	Cytotoxic	1997
R595	Cytotoxic	1878
R602	Cytotoxic	1990
R603	Cytotoxic	2205
R617	Cytotoxic	1786
R620	Cytotoxic	1820
R621	Cytotoxic	2109
R622	Cytotoxic	1802
R625	Cytotoxic	1803
R633	Cytotoxic	1845
R638	Cytotoxic	1939
R641	Cytotoxic	1760
R645	Cytotoxic	2385
R646	Cytotoxic	1765
R653	Cytotoxic	1645
R662	Cytotoxic	2159
R665	Cytotoxic	2649
R667	Cytotoxic	1845
R672	Cytotoxic	2853
R676	Cytotoxic	2188
R677	Cytotoxic	1810
R681	Cytotoxic	2175
R685	Cytotoxic	1924
R689	Cytotoxic	2553
R692	Cytotoxic	2208
R696	Cytotoxic	1723
R697	Cytotoxic	3159
R701	Cytotoxic	1710
R703	Cytotoxic	1843
R712	Cytotoxic	1941
R716	Cytotoxic	1862
R717	Cytotoxic	1845
R718	Cytotoxic	2089
R722	Cytotoxic	1804
R723	Cytotoxic	1843
R724	Cytotoxic	3266
R726	Cytotoxic	1748
R730	Cytotoxic	2218
R732	Cytotoxic	1851
R733	Cytotoxic	1828
R735	Cytotoxic	2021
R736	Cytotoxic	1855
R738	Cytotoxic	1846
R740	Cytotoxic	1926
R741	Cytotoxic	2091
R744	Cytotoxic	3131
R745	Cytotoxic	1700
R751	Cytotoxic	1974
R754	Cytotoxic	1853
R760	Cytotoxic	1790
R767	Cytotoxic	1831
R775	Cytotoxic	1833
R777	Cytotoxic	1804
R778	Cytotoxic	1822
R792	Cytotoxic	1922
R798	Cytotoxic	1730
R802	Cytotoxic	1815
R804	Cytotoxic	2488
R810	Cytotoxic	1818
R811	Cytotoxic	1850
R815	Cytotoxic	2376
R817	Cytotoxic	1776
R821	Cytotoxic	1934
R823	Cytotoxic	1681
R825	Cytotoxic	1667
R830	Cytotoxic	1775
R837	Cytotoxic	2110
R838	Cytotoxic	1965
R847	Cytotoxic	2301
R853	Cytotoxic	2584
R858	Cytotoxic	1763
R861	Cytotoxic	1970
R864	Cytotoxic	2021
R867	Cytotoxic	1784
R868	Cytotoxic	1750
R871	Cytotoxic	3247
R881	Cytotoxic	1709
R883	Cytotoxic	1689
R888	Cytotoxic	1844
R890	Cytotoxic	1689
R895	Cytotoxic	2106
R897	Cytotoxic	2299
R898	Cytotoxic	1909
R901	Cytotoxic	1778
R906	Cytotoxic	3023
R911	Cytotoxic	1753
R916	Cytotoxic	1816
R920	Cytotoxic	1836
R921	Cytotoxic	1768
R925	Cytotoxic	2833
R926	Cytotoxic	1874
R932	Cytotoxic	2365
R943	Cytotoxic	2537
R944	Cytotoxic	1884
R951	Cytotoxic	2134
R953	Cytotoxic	1853
R954	Cytotoxic	1959
R957	Cytotoxic	1695
R961	Cytotoxic	1711
R963	Cytotoxic	3130
R974	Cytotoxic	1885
R979	Cytotoxic	1963
R990	Cytotoxic	1713
R991	Cytotoxic	1759
R994	Cytotoxic	2311
R995	Cytotoxic	1912
R998	Cytotoxic	1845
R1003	Cytotoxic	1912
R1008	Cytotoxic	2054
R1016	Cytotoxic	2715
R1033	Cytotoxic	1784
R1034	Cytotoxic	2130
R1040	Cytotoxic	2934
R1041	Cytotoxic	2067
R1043	Cytotoxic	2562
