sample	group	counts
SNF2.1	Snf2-KO	5627202
SNF2.10	Snf2-KO	4564298
SNF2.11	Snf2-KO	5438682
SNF2.12	Snf2-KO	4083520
SNF2.14	Snf2-KO	5292402
SNF2.15	Snf2-KO	4636536
SNF2.16	Snf2-KO	4995174
SNF2.17	Snf2-KO	5662507
SNF2.18	Snf2-KO	4599314
SNF2.19	Snf2-KO	3922890
SNF2.2	Snf2-KO	4777162
SNF2.20	Snf2-KO	4992138
SNF2.21	Snf2-KO	5265270
SNF2.22	Snf2-KO	3726127
SNF2.23	Snf2-KO	4099505
SNF2.24	Snf2-KO	7728379
SNF2.26	Snf2-KO	5425360
SNF2.27	Snf2-KO	3678773
SNF2.28	Snf2-KO	4266987
SNF2.29	Snf2-KO	4299503
SNF2.3	Snf2-KO	4820694
SNF2.30	Snf2-KO	3975967
SNF2.31	Snf2-KO	4180359
SNF2.32	Snf2-KO	5197430
SNF2.33	Snf2-KO	6508405
SNF2.34	Snf2-KO	4922617
SNF2.36	Snf2-KO	4913825
SNF2.37	Snf2-KO	4418767
SNF2.38	Snf2-KO	4606889
SNF2.39	Snf2-KO	8362306
SNF2.4	Snf2-KO	5899520
SNF2.40	Snf2-KO	4556319
SNF2.41	Snf2-KO	5511861
SNF2.42	Snf2-KO	3818838
SNF2.43	Snf2-KO	5241639
SNF2.44	Snf2-KO	4879916
SNF2.45	Snf2-KO	4380832
SNF2.46	Snf2-KO	4871600
SNF2.47	Snf2-KO	4863411
SNF2.48	Snf2-KO	4075015
SNF2.5	Snf2-KO	3818052
SNF2.7	Snf2-KO	6866159
SNF2.8	Snf2-KO	4496835
SNF2.9	Snf2-KO	5513805
WT.1	WT	3284005
WT.10	WT	4360142
WT.11	WT	3730835
WT.12	WT	4468806
WT.13	WT	5011344
WT.14	WT	5270658
WT.15	WT	4171544
WT.16	WT	3079427
WT.17	WT	3943726
WT.18	WT	4260302
WT.19	WT	5050258
WT.2	WT	4345142
WT.20	WT	3496908
WT.23	WT	4218764
WT.24	WT	4388240
WT.26	WT	5088755
WT.27	WT	5274160
WT.29	WT	4493675
WT.3	WT	3558408
WT.30	WT	6356753
WT.31	WT	4717188
WT.32	WT	3613893
WT.33	WT	5215970
WT.35	WT	3663343
WT.37	WT	5981027
WT.38	WT	3946101
WT.39	WT	4044867
WT.4	WT	5752441
WT.40	WT	6576024
WT.41	WT	5493472
WT.42	WT	4045490
WT.43	WT	3659348
WT.44	WT	4423474
WT.45	WT	6370614
WT.46	WT	3076331
WT.47	WT	6624306
WT.48	WT	4418798
WT.5	WT	4426103
WT.6	WT	8063166
WT.7	WT	4845318
WT.8	WT	5360655
WT.9	WT	4784003
